LA VINA,SALTA,Argentina,1,/worldclock/@3832579,11.930149880471424,62.5,19.0,14.11
SAN BLAS DE LOS SAUCES,LA RIOJA,Argentina,13,/worldclock/@3837918,42.53038015080643,68.0,30.0,4.65
CASTRO BARROS,LA RIOJA,Argentina,17,/worldclock/@3862293,45.73080971841374,63.5,23.0,13.53
SANAGASTA,LA RIOJA,Argentina,3,/worldclock/@3838186,25.036759144809714,68.0,30.0,4.65
CHILECITO,LA RIOJA,Argentina,436,/worldclock/@3861445,84.43733276351,68.0,30.0,4.65
JUNIN,MENDOZA,Argentina,1607,/worldclock/@3853352,100.0,63.5,31.0,1.88
RIVADAVIA,MENDOZA,Argentina,1607,/worldclock/@3838751,100.0,63.5,31.0,1.88
TUNUYAN,MENDOZA,Argentina,397,/worldclock/@3833519,83.31940658426034,63.5,31.0,1.88
CORONEL SUAREZ,BUENOS AIRES,Argentina,1,/worldclock/@3860164,11.930149880471424,57.5,23.0,14.98
TORNQUIST,BUENOS AIRES,Argentina,3,/worldclock/@3834183,25.036759144809714,57.5,23.0,14.98
CORONEL DORREGO,BUENOS AIRES,Argentina,1,/worldclock/@3860199,11.930149880471424,57.5,23.0,14.98
MOLINOS,SALTA,Argentina,9,/worldclock/@3843991,38.143368409148,62.5,19.0,14.11
GUACHIPAS,SALTA,Argentina,3,/worldclock/@3854676,25.036759144809714,62.5,19.0,14.11
CAFAYATE,SALTA,Argentina,96,/worldclock/@3863503,66.3835079113414,68.5,23.0,31.3
FAMATINA,LA RIOJA,Argentina,133,/worldclock/@3855660,70.27274794798971,68.0,30.0,4.65
CAPAYAN,CATAMARCA,Argentina,2,/worldclock/@3862772,20.199499633777762,68.0,30.0,4.65
CORONEL FELIPE VARELA,LA RIOJA,Argentina,382,/worldclock/@3855099,82.85990884359151,68.0,30.0,4.65
CONESA,RIO NEGRO,Argentina,15,/worldclock/@3860364,44.23759466346157,58.5,27.0,4.44
SARMIENTO,CHUBUT,Argentina,1,/worldclock/@3835705,11.930149880471424,45.0,22.0,8.32
TILCARA,JUJUY,Argentina,6,/worldclock/@3834402,33.30610889811605,66.0,20.0,11.87
TUMBAYA,JUJUY,Argentina,5,/worldclock/@3833548,31.130985399123286,66.0,20.0,11.87
TINOGASTA,CATAMARCA,Argentina,935,/worldclock/@3834360,93.53889523922409,68.0,30.0,4.65
ANDALGALA,CATAMARCA,Argentina,6,/worldclock/@3865802,33.30610889811605,68.0,30.0,4.65
POMAN,CATAMARCA,Argentina,12,/worldclock/@3840804,41.57545865142239,68.0,30.0,4.65
