CERRILLOS,SALTA,Argentina,0,/worldclock/@3862086
CHICOANA,SALTA,Argentina,0,/worldclock/@3861494
LA VINA,SALTA,Argentina,1,/worldclock/@3832579
QUITILIPI,CHACO,Argentina,0,/worldclock/@3839489
INDEPENDENCIA,CHACO,Argentina,0,/worldclock/@3853853
COMANDANTE FERNANDEZ,CHACO,Argentina,0,/worldclock/@3860469
GENERAL BELGRANO,CHACO,Argentina,0,/worldclock/@3855125
CHACABUCO,CHACO,Argentina,0,/worldclock/@3861945
MAYOR LUIS J. FONTANA,CHACO,Argentina,0,/worldclock/@3844638
BERON DE ASTRADA,CORRIENTES,Argentina,0,/worldclock/@3436029
FRAY JUSTO SANTA MARIA DE ORO,CHACO,Argentina,0,/worldclock/@3855371
FRAY MAMERTO ESQUIU,CATAMARCA,Argentina,0,/worldclock/@3855367
SAN BLAS DE LOS SAUCES,LA RIOJA,Argentina,13,/worldclock/@3837918
CAPITAL,CATAMARCA,Argentina,0,/worldclock/@3862746
CASTRO BARROS,LA RIOJA,Argentina,17,/worldclock/@3862293
SANAGASTA,LA RIOJA,Argentina,3,/worldclock/@3838186
CHILECITO,LA RIOJA,Argentina,436,/worldclock/@3861445
INDEPENDENCIA,LA RIOJA,Argentina,0,/worldclock/@3853854
GENERAL JUAN F. QUIROGA,LA RIOJA,Argentina,0,/worldclock/@3838749
CASTELLANOS,SANTA FE,Argentina,0,/worldclock/@3867050
ROSARIO VERA PENALOZA,LA RIOJA,Argentina,0,/worldclock/@3855063
SAN MARTIN,SANTA FE,Argentina,0,/worldclock/argentina/rosario
JUNIN,MENDOZA,Argentina,1607,/worldclock/@3853352
RIVADAVIA,MENDOZA,Argentina,1607,/worldclock/@3838751
TUNUYAN,MENDOZA,Argentina,397,/worldclock/@3833519
PERGAMINO,BUENOS AIRES,Argentina,0,/worldclock/@3841488
ARRECIFES,BUENOS AIRES,Argentina,0,/worldclock/@3865436
CAPITAN SARMIENTO,BUENOS AIRES,Argentina,0,/worldclock/@3435690
CARMEN DE ARECO,BUENOS AIRES,Argentina,0,/worldclock/@3435644
GENERAL VILLEGAS,BUENOS AIRES,Argentina,0,/worldclock/@3855041
GENERAL PINTO,BUENOS AIRES,Argentina,0,/worldclock/@3855072
CHACABUCO,BUENOS AIRES,Argentina,0,/worldclock/@3861953
FLORENTINO AMEGHINO,BUENOS AIRES,Argentina,0,/worldclock/@3865888
SUIPACHA,BUENOS AIRES,Argentina,0,/worldclock/@3427896
LINCOLN,BUENOS AIRES,Argentina,0,/worldclock/@3846864
MERCEDES,BUENOS AIRES,Argentina,0,/worldclock/@3430708
BRAGADO,BUENOS AIRES,Argentina,0,/worldclock/argentina/bragado
CHIVILCOY,BUENOS AIRES,Argentina,0,/worldclock/@3861344
GENERAL VIAMONTE,BUENOS AIRES,Argentina,0,/worldclock/@3855043
ALBERTI,BUENOS AIRES,Argentina,0,/worldclock/@3866415
NAVARRO,BUENOS AIRES,Argentina,0,/worldclock/@3430457
RANCUL,LA PAMPA,Argentina,0,/worldclock/@3839380
REALICO,LA PAMPA,Argentina,0,/worldclock/@3839281
CHAPALEUFU,LA PAMPA,Argentina,0,/worldclock/@3861714
CARLOS TEJEDOR,BUENOS AIRES,Argentina,0,/worldclock/@3862600
LOBOS,BUENOS AIRES,Argentina,0,/worldclock/@3434158
RIVADAVIA,BUENOS AIRES,Argentina,0,/worldclock/@3430679
TRENEL,LA PAMPA,Argentina,0,/worldclock/@3833879
CARLOS CASARES,BUENOS AIRES,Argentina,0,/worldclock/@3862607
ROQUE PEREZ,BUENOS AIRES,Argentina,0,/worldclock/@3429449
MARACO,LA PAMPA,Argentina,0,/worldclock/@3844925
PEHUAJO,BUENOS AIRES,Argentina,0,/worldclock/@3841678
TRENQUE LAUQUEN,BUENOS AIRES,Argentina,0,/worldclock/@3833874
SALADILLO,BUENOS AIRES,Argentina,0,/worldclock/@3844637
CONHELO,LA PAMPA,Argentina,0,/worldclock/@3860354
PELLEGRINI,BUENOS AIRES,Argentina,0,/worldclock/@3841613
QUEMU QUEMU,LA PAMPA,Argentina,0,/worldclock/@3839667
BOLIVAR,BUENOS AIRES,Argentina,0,/worldclock/@3863998
LOVENTUE,LA PAMPA,Argentina,0,/worldclock/@3846928
HIPOLITO YRIGOYEN,BUENOS AIRES,Argentina,0,/worldclock/@3854283
TOAY,LA PAMPA,Argentina,0,/worldclock/@3834309
CAPITAL,LA PAMPA,Argentina,0,/worldclock/@3862741
TRES LOMAS,BUENOS AIRES,Argentina,0,/worldclock/@8063222
