Cabildo,Buenos Aires,Argentina,None,/worldclock/@3863596,36.11988697067231,57.5,23.0,14.98,78,9,29.99,6,-34.6087392,-58.3737862
Cacharí,Buenos Aires,Argentina,None,/worldclock/@3435857,36.819825318623366,57.5,27.0,29.45,70,8,30.0,10,-36.3797013,-59.50296
Campos Salles,Buenos Aires,Argentina,None,/worldclock/@3863016,8.12954420004078,66.0,26.0,12.34,74,8,29.96,7,-34.5498362,-58.4614424
Casbas,Buenos Aires,Argentina,None,/worldclock/@3862373,68.45368277721924,61.0,28.0,11.37,63,7,29.96,15,-36.7590314,-62.50177829999999
Chapadmalal,Buenos Aires,Argentina,None,/worldclock/@3435465,36.11988697067231,57.5,23.0,14.98,78,9,29.99,6,-38.173056,-57.65194400000001
Chillar,Buenos Aires,Argentina,None,/worldclock/@3435417,36.819825318623366,57.5,27.0,29.45,70,8,30.0,10,-37.3128384,-59.98525650000001
Claromecó,Buenos Aires,Argentina,None,/worldclock/@3864887,36.819825318623366,57.5,27.0,29.45,70,8,30.0,10,-38.8553243,-60.074066
Comandante Nicanor Otamendi,Buenos Aires,Argentina,None,/worldclock/@3435280,36.11988697067231,57.5,23.0,14.98,78,9,29.99,6,-38.1105162,-57.84115239999999
Costa Azul,Buenos Aires,Argentina,None,/worldclock/@11054913,36.11988697067231,57.5,23.0,14.98,78,9,29.99,6,-36.6715028,-56.680823
Costa Chica,Buenos Aires,Argentina,None,/worldclock/@8014949,36.11988697067231,57.5,23.0,14.98,78,9,29.99,6,-36.5098214,-56.6998519
Costa del Este,Buenos Aires,Argentina,None,/worldclock/argentina/mar-del-plata,36.11988697067231,57.5,23.0,14.98,78,9,29.99,6,-36.6087864,-56.68802280000001
Darregueira,Buenos Aires,Argentina,None,/worldclock/@3859522,36.11988697067231,57.5,23.0,14.98,78,9,29.99,6,-37.6893359,-63.1609664
Dudignac,Buenos Aires,Argentina,None,/worldclock/@3859102,35.666844683813586,61.5,25.0,16.32,72,8,29.96,7,-35.6502564,-60.70956890000001
El Remanso,Buenos Aires,Argentina,None,/worldclock/@11147619,12.698319854817157,64.5,23.0,13.77,72,10,29.99,6,-34.6185099,-58.3765249
Empalme Lobos,Buenos Aires,Argentina,None,/worldclock/@3434158,12.698319854817157,64.5,23.0,13.77,72,10,29.99,6,-35.151613,-59.0911545
General Mansilla,Buenos Aires,Argentina,None,/worldclock/@3433791,35.6332859958981,63.0,26.0,14.46,73,8,29.99,6,-35.0797067,-57.74700989999999
General Rojo,Buenos Aires,Argentina,None,/worldclock/@3855059,8.12954420004078,66.0,26.0,12.34,74,8,29.96,7,-33.4740675,-60.28813169999999
Gobernador Castro,Buenos Aires,Argentina,None,/worldclock/@3433756,8.12954420004078,66.0,26.0,12.34,74,8,29.96,7,-33.6589312,-59.8685346
Henderson,Buenos Aires,Argentina,None,/worldclock/@3854359,35.666844683813586,61.5,25.0,16.32,72,8,29.96,7,-36.2981457,-61.7184579
Hilario Ascasubi,Buenos Aires,Argentina,None,/worldclock/@3854294,36.11988697067231,57.5,23.0,14.98,78,9,29.99,6,-39.3760529,-62.64558030000001
Hinojo,Buenos Aires,Argentina,None,/worldclock/@3860778,36.819825318623366,57.5,27.0,29.45,70,8,30.0,10,-36.8666571,-60.1678037
Ingeniero White,Buenos Aires,Argentina,None,/worldclock/@3853773,36.11988697067231,57.5,23.0,14.98,78,9,29.99,6,-38.784481,-62.26776119999999
Jeppener,Buenos Aires,Argentina,None,/worldclock/@3433340,12.698319854817157,64.5,23.0,13.77,72,10,29.99,6,-35.2796899,-58.1977981
Juan Bautista Alberdi,Buenos Aires,Argentina,None,/worldclock/@3433311,12.698319854817157,64.5,23.0,13.77,72,10,29.99,6,-34.6364736,-58.4773686
Juan José Paso,Buenos Aires,Argentina,None,/worldclock/@3853423,35.666844683813586,61.5,25.0,16.32,72,8,29.96,7,-35.8523042,-62.29729459999999
La Dulce,Buenos Aires,Argentina,None,/worldclock/argentina/la-plata,35.6332859958981,63.0,26.0,14.46,73,8,29.99,6,-38.2837605,-59.203163
La Lonja,Buenos Aires,Argentina,None,/worldclock/argentina/la-plata,35.6332859958981,63.0,26.0,14.46,73,8,29.99,6,-34.452082,-58.8376156
Las Toninas,Buenos Aires,Argentina,None,/worldclock/@3431608,36.11988697067231,57.5,23.0,14.98,78,9,29.99,6,-36.4870244,-56.6931113
