LA VINA,SALTA,Argentina,1,/worldclock/@3832579,35.33844895206941,62.5,19,14.11,71,5,29.96,8,-25.4665349,-65.5667354
SAN BLAS DE LOS SAUCES,LA RIOJA,Argentina,13,/worldclock/@3837918,41.3598363837579,68,30,4.65,57,5,29.84,11,-28.4047845,-67.0875864
SANAGASTA,LA RIOJA,Argentina,3,/worldclock/@3838186,41.3598363837579,68,30,4.65,57,5,29.84,11,-29.2652513,-67.0173905
CHILECITO,LA RIOJA,Argentina,436,/worldclock/@3861445,41.3598363837579,68,30,4.65,57,5,29.84,11,-29.1611279,-67.4962016
JUNIN,MENDOZA,Argentina,1607,/worldclock/@3853352,73.96929284103898,63.5,31,1.88,53,5,29.9,8,-33.1441469,-68.4836771
RIVADAVIA,MENDOZA,Argentina,1607,/worldclock/@3838751,73.96929284103898,63.5,31,1.88,53,5,29.9,8,-33.1959908,-68.4661473
TUNUYAN,MENDOZA,Argentina,397,/worldclock/@3833519,73.96929284103898,63.5,31,1.88,53,5,29.9,8,-33.5813185,-69.0153361
CORONEL SUAREZ,BUENOS AIRES,Argentina,1,/worldclock/@3860164,36.11988697067231,57.5,23,14.98,78,9,29.99,6,-37.4586139,-61.9328019
TORNQUIST,BUENOS AIRES,Argentina,3,/worldclock/@3834183,36.11988697067231,57.5,23,14.98,78,9,29.99,6,-38.0987358,-62.2236252
CORONEL DORREGO,BUENOS AIRES,Argentina,1,/worldclock/@3860199,36.11988697067231,57.5,23,14.98,78,9,29.99,6,-38.7186346,-61.2884962
MOLINOS,SALTA,Argentina,9,/worldclock/@3843991,35.33844895206941,62.5,19,14.11,71,5,29.96,8,-24.883333,-65.483333
GUACHIPAS,SALTA,Argentina,3,/worldclock/@3854676,35.33844895206941,62.5,19,14.11,71,5,29.96,8,-25.522196,-65.5089077
CAFAYATE,SALTA,Argentina,96,/worldclock/@3863503,31.92025688296599,68.5,23,31.3,67,7,29.88,6,-26.0730798,-65.976052
FAMATINA,LA RIOJA,Argentina,133,/worldclock/@3855660,41.3598363837579,68,30,4.65,57,5,29.84,11,-28.9255089,-67.5202605
CAPAYAN,CATAMARCA,Argentina,2,/worldclock/@3862772,41.3598363837579,68,30,4.65,57,5,29.84,11,-28.7666702,-66.0666809
